reactant_1,reactant_2,reactant_3,product_R,product_S,solvent,catalyst_1,catalyst_2,product_undesired_R,product_undesired_S,ee_R,ee_S,ee_undesired_R,ee_undesired_S,yield_undesired_R,yield_undesired_S,reaction
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,C1COCCN1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,0.6299999952316284,-0.6299999952316284,0.0,0.0,0.0955984964966774,0.09440150111913681,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>C1COCCN1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,44.65999984741211,-44.65999984741211,0.0,0.0,0.41228100657463074,0.15771900117397308,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.[O-]S(=O)(=O)C(F)(F)F,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,79.94999694824219,-79.94999694824219,0.0,0.0,0.3509024977684021,0.03909750655293465,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.[O-]S(=O)(=O)C(F)(F)F.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H]1CCCN1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,-60.880001068115234,60.880001068115234,0.0,0.0,0.23080798983573914,0.9491919875144958,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H]1CCCN1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,O=C(O)[C@H]1CCCN1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,-5.159999847412109,5.159999847412109,0.0,0.0,0.19442200660705566,0.21557800471782684,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>O=C(O)[C@H]1CCCN1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,40.529998779296875,-40.529998779296875,0.0,0.0,0.07026500254869461,0.029735000804066658,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,O=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,-14.4399995803833,14.4399995803833,0.0,0.0,0.303737998008728,0.40626201033592224,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>O=C(O)[C@@H]1C[C@@H]2CCCC[C@@H]2N1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,O=C(O)[C@H]1CCCCN1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,-4.260000228881836,4.260000228881836,0.0,0.0,0.19147999584674835,0.20851999521255493,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>O=C(O)[C@H]1CCCCN1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,NC(=O)C1CCCN1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,-21.209999084472656,21.209999084472656,0.0,0.0,0.09060849994421005,0.13939149677753448,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>NC(=O)C1CCCN1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,O=C(O)[C@@H]1Cc2ccccc2N1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,-43.380001068115234,43.380001068115234,0.0,0.0,0.15853600203990936,0.4014640152454376,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>O=C(O)[C@@H]1Cc2ccccc2N1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,O=C(O)C1CSCN1,F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9,O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,2.190000057220459,-2.190000057220459,0.0,0.0,0.06131400167942047,0.05868599936366081,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>O=C(O)C1CSCN1.F[P](F)(F)(F)(F)F.CC(C)(C)C1=CC=[N@H]2C(=C1)C3=CC(=CC=[N@@H]3[Ir]2456c7cc(F)cc(F)c7C8=CC=C(C=[N]48)C(F)(F)F)C(C)(C)C.Fc9cc(F)c(C%10=[N]5C=C(C=C%10)C(F)(F)F)c6c9.CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,C1COCCN1,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,7.139999866485596,-7.139999866485596,0.0,0.0,0.07499799877405167,0.06500200182199478,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>C1COCCN1.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3].CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,48.060001373291016,-48.060001373291016,0.0,0.0,0.6070460081100464,0.21295399963855743,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>C[Si](C)(C)OC(c1ccccc1)(c1ccccc1)[C@@H]1CCCN1.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3].CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.[O-]S(=O)(=O)C(F)(F)F,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,80.75,-80.75,0.0,0.0,0.2892000079154968,0.030799999833106995,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>C[C@@H]1[NH2+][C@@H](C(C)(C)C)N(C)C1=O.[O-]S(=O)(=O)C(F)(F)F.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3].CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H]1CCCN1,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,-59.439998626708984,59.439998626708984,0.0,0.0,0.20482800900936127,0.8051719665527344,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>C[Si](C)(C)OC(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)[C@H]1CCCN1.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3].CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,O=C(O)[C@H]1CCCN1,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,-3.609999895095825,3.609999895095825,0.0,0.0,0.19759950041770935,0.21240049600601196,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>O=C(O)[C@H]1CCCN1.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3].CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
c1ccc(C(=O)CBr)cc1,Cc1cccc(C)n1,C#CCCCCC=O,C#CCCC[C@H](C=O)CC(=O)c1ccccc1,C#CCCC[C@@H](C=O)CC(=O)c1ccccc1,CN(C)C=O,CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C,C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3],O=C[C@@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,O=C[C@H](CCCC1=CN(c2ccc(C(=O)OC[C@H](Cc3ccccc3)NC(=O)OCC3c4ccccc4-c4ccccc43)cc2)[N+]=[N-]1)CC(=O)c1ccccc1,34.75,-34.75,0.0,0.0,0.06063750013709068,0.029362499713897705,C#CCCCCC=O.c1ccc(C(=O)CBr)cc1>CN1C(=O)[C@H](Cc2ccccc2)N[C@@H]1C(C)(C)C.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.C1=CC=C([C-]=C1)C2=CC=CC=N2.[Ir+3].CN(C)C=O.Cc1cccc(C)n1>C#CCCC[C@@H](C=O)CC(=O)c1ccccc1.C#CCCC[C@H](C=O)CC(=O)c1ccccc1
